Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Total_Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100013501942158,15.1000003814697,145.478607177734,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.00859605055302382,11.8000001907349,115.349197387695,5
Regular,FDR28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0258964858949184,13.8500003814697,165.02099609375,5
Regular,FDL50,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.0422778688371181,12.1499996185303,126.504600524902,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970195800066,19.6000003814697,55.1613998413086,5
Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00550548080354929,8.89000034332275,102.40160369873,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.0983124226331711,11.8000001907349,81.461799621582,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0269037131220102,19.7000007629395,96.0726013183594,5
Low Fat,FDW20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.024129331111908,20.75,124.172996520996,5
Low Fat,FDX25,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.101561568677425,NULL,181.92919921875,5
Low Fat,FDX21,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0845545679330826,NULL,109.89119720459,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0520449765026569,18.8500003814697,192.184600830078,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937661647797,17.1000003814697,112.388603210449,5
Low Fat,NCR54,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.0904868245124817,16.3500003814697,195.210998535156,5
Low Fat,FDH19,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0329282395541668,NULL,173.173797607422,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549449563,20.25,222.177200317383,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14702382683754,17.8500003814697,93.7435989379883,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0776280537247658,19.2000007629395,197.610992431641,5
Low Fat,FDJ56,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.182514876127243,NULL,98.7699966430664,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895292326808,12.1000003814697,178.565994262695,5
Regular,FDZ07,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,NULL,60.2193984985352,5
Low Fat,NCK31,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0269167944788933,NULL,50.9665985107422,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0229764971882105,6.84999990463257,261.659393310547,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704097271,17.25,173.176406860352,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0654319152235985,16,76.198600769043,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241205692291,13.3500003814697,150.239196777344,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0339355766773224,6.69500017166138,221.945602416992,5
Regular,FDO19,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.016516275703907,NULL,47.4034004211426,5
Low Fat,FDO04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0265372060239315,16.6000003814697,57.2613983154297,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.131128460168839,6.92000007629395,93.1803970336914,5
Low Fat,NCJ30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0806404799222946,5.82000017166138,167.779006958008,5
Low Fat,NCQ41,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.0194641798734665,14.8000001907349,196.37939453125,5
Low Fat,DRJ35,Hard Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.046545784920454,10.1000003814697,59.9878005981445,5
Low Fat,NCE31,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.18468976020813,7.67000007629395,35.4216003417969,5
